IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IpAddress,103.183.3.162,,Block,High,Silver Fox - C2 IP,C2 endpoint resolving oijfwe.net. Observed on port 5090. Silver Fox campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
IpAddress,43.99.100.248,,Block,High,Silver Fox - C2 IP,C2 endpoint. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
IpAddress,47.239.175.163,,Block,High,Silver Fox - C2 IP,C2 endpoint. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
IpAddress,47.86.205.97,,Block,High,Silver Fox - C2 IP,C2 endpoint. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
IpAddress,161.248.87.157,,Block,High,Silver Fox - C2 IP,C2 endpoint. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Isolate device immediately. Assume full compromise - credential reset and forensic triage required.,,CommandAndControl,T1071,True
FileSha256,676a2a7b94ca2f8ec76352ee656e4d075bb342bd7ad6efbc7c19c060001eace7,,Block,High,Silver Fox - Stage-One Payload,Stage-one dropper payload. Delivered via trojanised installer. Stable hash across filename rotation. Drops further stages to C:\Users\Public or ProgramData. Silver Fox campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device. Check Public and ProgramData for additional dropped files. Review scheduled tasks for SYSTEM-level Defender exclusion writes.,,Malware,T1204.002,True
FileSha256,6d6ba2bc9ad414837826f7278bc3e0116f1aeda02d0c2284ed65819f5d9180a8,,Block,High,Silver Fox - Later-Stage Payload (Philips Masquerade),Later-stage payload masquerading as Philips Speech Driver. Uses DLL sideloading. Silver Fox campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device. Investigate parent process and loaded DLLs. Check for persistence via Run keys or scheduled tasks.,,Malware,T1036.005,True
FileSha256,c4100ad39d8db98f063feb6c3b6c8e9a9f9d9bf25a1e0233f43b058ff8a7dbdf,,Block,High,Silver Fox - Networking Payload,Networking and C2 communication payload. Establishes outbound connections to C2 infrastructure. Silver Fox campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device. Review all outbound connections from device in Advanced Hunting DeviceNetworkEvents.,,CommandAndControl,T1071,True
FileSha256,1bd3662d784840e410d2d3c0a1040277f7f549089447359f01e05c2559cb1f17,,Block,High,Silver Fox - Persistent Payload (Process Injection),Persistent payload that injects into legitimate user processes. Survives reboot. Silver Fox campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device immediately. Assume credential theft possible - reset all user credentials on affected device.,,Malware,T1055,True
FileSha256,c6100166e2d3b40388980f7674712ef39e937ac04925ca5d370415399ed73faf,,Block,High,Silver Fox - TrueUpdate Loader,TrueUpdate framework loader. Retrieves and executes additional payloads from C2. Enables hands-on-keyboard activity. Silver Fox campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device immediately. Full forensic triage required - TrueUpdate indicates active operator access.,,CommandAndControl,T1105,True
FileSha256,f33d160d757e4b39019fdef21cf90cafb501b800ca0d4039366bc30856e3d81b,,Block,High,Silver Fox - Persistent/Networking Payload,Combined persistence and networking payload. Disables Windows Update and deletes VSS shadow copies. Silver Fox campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device. Check VSS shadow copy status. Verify Windows Update service state. Full forensic triage required.,,Malware,T1071,True
FileSha256,e4fe2dee8f0bb132fa15fc686d1f93df39530a2d3a8d3a1f3a605a057c04e7b3,,Block,High,Silver Fox - Supporting DLL (Sideloaded),Supporting DLL loaded via sideloading into legitimate process. Silver Fox counterfeit installer campaign (MS Security Blog 2026-09-01).,Quarantine file. Isolate device. Identify parent executable and investigate for additional sideloaded components.,,Malware,T1574.002,True
